;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
21.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;280.163,40;
;414;Entidad Estatal de Seguros Agrarios (ENESA);;280.163,40;
;41400; Para subvenciones del Plan Anual de Seguros Agrarios y liquidación de planes anteriores;275.735,35;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;280.163,40;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;571,24;
;714;Entidad Estatal de Seguros Agrarios (ENESA);;571,24;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;571,24;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;280.734,64;
 ; ;;;;
 ; ;;;;
21.04;;SECRETARÍA GENERAL DE RECURSOS AGRARIOS Y SEGURIDAD ALIMENTARIA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;20.675,22;
;412;Agencia de Información y Control Alimentarios (AICA);;5.679,65;
;413;Fondo Español de Garantía Agraria (FEGA);;14.845,57;
;415;MAPA. Financiación Nacional subvenciones producción agraria;;150,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;20.675,22;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;39.628,45;
;712;Agencia de Información y Control Alimentarios (AICA);;1.540,00;
;713;Fondo Español de Garantía Agraria (FEGA);;25.039,60;
;714;Fondo Español de Garantía Agraria (FEGA). Programa Nacional de Desarrollo Rural 2015-2020;;13.048,85;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;39.628,45;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE RECURSOS AGRARIOS Y SEGURIDAD ALIMENTARIA;;60.303,67;
 ; ;;;;
 ; ;;;;
21.103;;FONDO ESPAÑOL DE GARANTÍA AGRARIA;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;70;A la Administración del Estado;;15.209,12;
;700;Estado. Ayudas desarrollo rural. FEGA organismo pagador;;15.209,12;
;71;A Organismos Autónomos;;970,60;
;710;Organismo Autónomo FEGA. Ayudas desarrollo rural. FEGA organismo pagador;;970,60;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;16.179,72;
 ; ;;;;
;;TOTAL FONDO ESPAÑOL DE GARANTÍA AGRARIA;;16.179,72;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;357.218,03;
;;



