Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total (miles €);Total (€)
921M;Dirección y Servicios Generales de Política Territorial y Memoria Democrática;26.555,38;7.229,90;—;—;7.518,62;—;59,77;41.363,67;41.363,67;41.363.670,00 €
921P;Administración General del Estado en el Territorio;230.209,29;36.562,30;2.763,20;29,13;15.995,75;—;305,13;285.864,80;285.864,80;285.864.800,00 €
922M;Organización territorial del Estado y desarrollo de sus sistemas de colaboración;11.528,55;200,54;—;30;—;—;—;11.759,09;11.759,09;11.759.090,00 €
925M;Memoria democrática;1.212,00;3.540,00;—;5.650,00;1.950,00;1.600,00;—;13.952,00;13.952,00;13.952.000,00 €
942A;Cooperación económica local del Estado;2.172,93;1.465,40;—;2.625,00;360;51.816,00;—;58.439,33;58.439,33;58.439.330,00 €
TOTAL CONSOLIDADO;;271.678,15;48.998,14;2.763,20;8.334,13;25.824,37;53.416,00;364,9;411.378,89;411.378,89;411.378.890,00 €
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
