Código;Programa;Total (miles €);Total (€)
921M;Dirección y Servicios Generales de Política Territorial y Memoria Democrática;41.363,67;41.363.670,00 €
921P;Administración General del Estado en el Territorio;285.864,80;285.864.800,00 €
922M;Organización territorial del Estado y desarrollo de sus sistemas de colaboración;11.759,09;11.759.090,00 €
925M;Memoria democrática;13.952,00;13.952.000,00 €
942A;Cooperación económica local del Estado;58.439,33;58.439.330,00 €
—;TOTAL CONSOLIDADO;411.378,89;411.378.890,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
