Clasificación Económica;Explicación;Clasificación Orgánica (23.112);Total (miles €);Total (€)
6;Inversiones reales;23.112;11.000,00;11.000.000,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;23.112;11.000,00;11.000.000,00 €
7;Transferencias de capital;23.112;158.252,59;158.252.590,00 €
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.112;10.000,00;10.000.000,00 €
75;A Comunidades Autónomas;23.112;59.252,59;59.252.590,00 €
76;A Entidades Locales;23.112;89.000,00;89.000.000,00 €
—;TOTAL PROGRAMA C10.I01;—;169.252,59;169.252.590,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
