Clasificación Económica;Explicación;Orgánica 23.50;Orgánica 23.101;Total (miles €);Total (€)
6;Inversiones reales;72.480,61;81.634,07;154.114,68;154.114.680,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;72.480,61;81.634,07;154.114,68;154.114.680,00 €
7;Transferencias de capital;200;—;200;200.000,00 €
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;200;—;200;200.000,00 €
—;TOTAL PROGRAMA C04.I02;72.680,61;81.634,07;154.314,68;154.314.680,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
