Clasificación Económica;Explicación;Orgánica 23.50;Orgánica 23.101;Total (miles €)
6;Inversiones reales;88.640,03;6.333,62;94.973,65
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;88.640,03;6.333,62;94.973,65
7;Transferencias de capital;2.366,38;—;2.366,38
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;2.366,38;—;2.366,38
—;TOTAL PROGRAMA C04.I04;91.006,41;6.333,62;97.340,03
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
