Clasificación Económica;Explicación Económica;Clasificación Orgánica (23.302);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;23.302;28.205,07;28.205.070,00 €
15;Incentivos al rendimiento;23.302;2.201,51;2.201.510,00 €
150;Productividad;23.302;2.075,50;2.075.500,00 €
151;Gratificaciones;23.302;126,01;126.010,00 €
16000;Seguridad Social;23.302;3.982,00;3.982.000,00 €
16200;Formación y perfeccionamiento del personal;23.302;609,78;609.780,00 €
16204;Acción social;23.302;119,85;119.850,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;23.302;12.292,50;12.292.500,00 €
3;GASTOS FINANCIEROS;23.302;421;421.000,00 €
4;TRANSFERENCIAS CORRIENTES;23.302;1.244,12;1.244.120,00 €
45;A Comunidades Autónomas – Cátedras universitarias;23.302;265;265.000,00 €
48;A familias e instituciones sin fines de lucro – formación, becas, indemnizaciones;23.302;435;435.000,00
49;Al exterior – contribuciones internacionales;23.302;544,12;544.120,00
6;INVERSIONES REALES;23.302;4.271,00;4.271.000,00 €
7;TRANSFERENCIAS DE CAPITAL;23.302;1.430,00;1.430.000,00 €
75;A Comunidades Autónomas – capital;23.302;1.420,00;1.420.000,00 €
79;Al exterior – contribuciones internacionales;23.302;10;10.000,00 €
8;ACTIVOS FINANCIEROS;23.302;68;68.000,00
83;Préstamos fuera del sector público;23.302;67;67.000,00 €
84;Fianzas;23.302;1;1.000,00 €
—;TOTAL PROGRAMA 424M – Seguridad Nuclear y Protección Radiológica;—;47.931,69;47.931.690,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
