Clasificación Económica;Explicación Económica;23.03;23.09;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;2.210,50;4.194,86;6.405,36;6.405.360,00 €
10;Altos cargos;151,45;61,04;212,49;212.490,00 €
11;Personal eventual;251,09;—;251,09;251.090,00 €
12;Funcionarios;1.504,78;3.583,01;5.087,79;5.087.790,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;303,18;550,81;853,99;853.990,00 €
4;TRANSFERENCIAS CORRIENTES;286.451,44;—;286.451,44;286.451.440,00 €
44;A entidades del Sector Público Estatal;27.500,00;—;27.500,00;27.500.000,00 €
45;A Comunidades Autónomas;255.000,00;—;255.000,00;255.000.000,00 €
48;A familias e instituciones sin fines de lucro;3.951,44;—;3.951,44;3.951.440,00 €
6;INVERSIONES REALES;16.086,93;11.536,05;27.622,98;27.622.980,00 €
64;Gastos de inversiones de carácter inmaterial;16.086,93;11.536,05;27.622,98;27.622.980,00 €
7;TRANSFERENCIAS DE CAPITAL;34.266,00;—;34.266,00;34.266.000,00 €
74;A entidades del Sector Público Estatal;32.266,00;—;32.266,00;32.266.000,00 €
76;A Entidades Locales;2.000,00;—;2.000,00;2.000.000,00 €
8;ACTIVOS FINANCIEROS;471.220,64;—;471.220,64;471.220.640,00 €
82;Concesión de préstamos al Sector Público;471.220,64;—;471.220,64;471.220.640,00 €
—;TOTAL PROGRAMA 425A – Normativa y desarrollo energético;810.235,51;15.730,91;825.966,42;825.966.420,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
