Orgánica;Económica;Explicación;Total (mil €);Total (€)
23.04;4;TRANSFERENCIAS CORRIENTES;875;875.000
480;Subvenciones a ONG medioambientales;875;875;875.000
48001;A AMIGOS DE LA TIERRA;95;95;95.000
48002;A ECOLOGISTAS EN ACCIÓN-CODA;260;260;260.000
48003;A SEO/BirdLife;260;260;260.000
48004;A WWF España;260;260;260.000
23.04;6;INVERSIONES REALES;468,24;468.240
TOTAL SECRETARÍA DE ESTADO DE MEDIO AMBIENTE;—;—;1.343,24;1.343.240
23.10;1;GASTOS DE PERSONAL;2.781,63;2.781.630
10;Altos cargos;61,04;61,04;61.040
12;Funcionarios;2.280,66;2.280,66;2.280.660
16;Cuotas y prestaciones sociales;439,93;439,93;439.930
16000;Seguridad Social;439,93;439,93;439.930
23.10;4;TRANSFERENCIAS CORRIENTES;222,28;222.280
480;A la FEMP – iniciativas locales;222,28;222.280;222.280
23.10;6;INVERSIONES REALES;1.500,00;1.500.000
23.10;7;TRANSFERENCIAS DE CAPITAL;10.800,00;10.800.000
740;A Fundación Biodiversidad;2.500,00;2.500,00;2.500.000
741;Fondo de carbono;800;800.000;800.000
751;A CCAA – Plan PIMA Refugios Climáticos;7.500,00;7.500,00;7.500.000
23.10;8;ACTIVOS FINANCIEROS;12.000,00;12.000.000
871;Fondo de carbono;12.000,00;12.000,00;12.000.000
TOTAL OFICINA ESPAÑOLA DEL CAMBIO CLIMÁTICO;—;—;27.303,91;27.303.910
TOTAL PROGRAMA 456M;—;—;28.647,15;28.647.150
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
