Económica;Explicación;23.03;23.04;23.05;23.08;23.11;23.14;23.50;23.103;23.104;23.105;23.109;23.111;23.302;Total (mil €);Total (€)
4;TRANSFERENCIAS CORRIENTES;165.959,34;40.521,99;83.311,80;–;–;193,87;–;16,24;770,52;785,53;2.712,77;113,04;968,31;295.353,41;295.353.410
40;A la Administración del Estado;–;–;–;–;–;–;–;16,24;770,52;785,53;–;113,04;968,31;2.653,64;2.653.640
41;A Organismos Autónomos;165.559,34;11.681,35;83.311,80;–;–;193,87;–;–;–;–;2.712,77;–;–;263.459,13;263.459.130
43;A otras entidades del SPAE;400;28.840,64;–;–;–;–;–;–;–;–;–;–;–;29.240,64;29.240.640
7;TRANSFERENCIAS DE CAPITAL;3.576.113,56;60.587,32;66.820,00;2.215,56;2.453,36;–;333.802,27;–;–;–;1.500,00;–;–;4.043.492,07;4.043.492.070
70;A la Administración del Estado;–;–;–;–;–;–;–;–;–;–;1.500,00;–;–;1.500,00;1.500.000
71;A Organismos Autónomos;61.321,81;26.128,66;65.820,00;919,57;–;–;300.156,24;–;–;–;–;–;–;454.346,28;454.346.280
73;A otras entidades del SPAE;3.514.791,75;34.458,66;1.000,00;1.295,99;2.453,36;–;33.646,03;–;–;–;–;–;–;3.587.645,79;3.587.645.790
TOTAL GENERAL;—;3.742.072,90;101.109,31;150.131,80;2.215,56;2.453,36;193,87;333.802,27;16;771;786;2.713;1.613;968;4.338.845,48;4.338.845.480
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
