;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 424M Seguridad nuclear y protección radiológica;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.302;;CONSEJO DE SEGURIDAD NUCLEAR;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;2.201,51;
;150;Productividad;;2.075,50;
;151;Gratificaciones;;126,01;
;16000; Seguridad Social;3.982,00;;
;16200; Formación y perfeccionamiento del personal;609,78;;
;16204; Acción social;119,85;;
;;TOTAL GASTOS DE PERSONAL;;28.205,07;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;170,00;
;22109; Labores Fábrica Nacional Moneda y Timbre;12,50;;
;22502; Locales;90,00;;
;22601; Atenciones protocolarias y representativas;60,10;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;12.292,50;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;421,00;
;352;Intereses de demora;;1,00;
;359;Otros gastos financieros;;420,00;
;;TOTAL GASTOS FINANCIEROS;;421,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;265,00;
;451;Universidades públicas para financiar las Cátedras de Seguridad Nuclear y Protección Radiológica;;265,00;
;48;A familias e instituciones sin fines de lucro;;435,00;
;480;A instituciones sin fines de lucro que realizan la actividad de formación, información y divulgación relativa a la SN y PR;;75,00;
;484;Becas para la formación de postgraduados en materia de Seguridad Nuclear y Protección Radiológica;;135,00;
;485;Indemnizaciones a ex-altos cargos del Consejo de Seguridad Nuclear al cesar en sus puestos;;175,00;
;486;Premios de jubilación del personal;;50,00;
;49;Al exterior;;544,12;
;490;Contribuciones y cuotas internacionales;;544,12;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.244,12;
 ; ;;;;
;6;INVERSIONES REALES;;4.271,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;1.420,00;
;750;Transferencia de capital a Comunidades Autónomas;;1.420,00;
;79;Al exterior;;10,00;
;791;Contribuciones y cuotas internacionales;;10,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;1.430,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;67,00;
;830;Préstamos a corto plazo;;2,00;
;831;Préstamos a largo plazo;;65,00;
;84;Constitución de depósitos y fianzas;;1,00;
;841;Fianzas;;1,00;
;;TOTAL ACTIVOS FINANCIEROS;;68,00;
 ; ;;;;
;;TOTAL CONSEJO DE SEGURIDAD NUCLEAR;;47.931,69;
 ; ;;;;
 ; ;;;;
;;TOTAL Seguridad nuclear y protección radiológica;;47.931,69;
;;



