;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 42GA C07.I01 Desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74805; Al IDAE para el desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos. Mecanismo de Recuperación y Resiliencia;730.000,00;;
;82904; Al IDAE para PERTE ERHA en materia de desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos. Mecanismo de Recuperación y Resiliencia;50.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;780.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C07.I01 Desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos;;780.000,00;
;;



