;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45DB C04.I02 Conservación de la biodiversidad terrestre marina;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74312; Aportación al FRER para actuaciones de conservación de la biodiversidad terrestre y marina en espacios gestionados por O.A. Parques Nacionales. Mecanismo de Recuperación y Resiliencia;200,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;72.680,61;
 ; ;;;;
 ; ;;;;
23.101;;PARQUES NACIONALES;;81.634,07;
 ; ;;;;
 ; ;;;;
;;TOTAL C04.I02 Conservación de la biodiversidad terrestre marina;;154.314,68;
;;



