;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45ED C05.I04 Adaptación de la costa al cambio climático e implementación de las Estrategias Marinas y de los planes de ordenación del espacio marítimo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74710; Aportación al FRER para actuaciones adaptación al cambio climático. Mecanismo de Recuperación y Resiliencia;132.733,33;;
;74720; Aportación al FRER para estrategias marinas y ordenación del espacio marítimo. Mecanismo de Recuperación y Resiliencia;4.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;136.733,33;
 ; ;;;;
 ; ;;;;
;;TOTAL C05.I04 Adaptación de la costa al cambio climático e implementación de las Estrategias Marinas y de los planes de ordenación del espacio marítimo;;136.733,33;
;;



