;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 495B Meteorología;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.301;;AGENCIA ESTATAL DE METEOROLOGÍA;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;2.440,84;
;150;Productividad;;2.092,57;
;151;Gratificaciones;;348,27;
;16200; Formación y perfeccionamiento del personal;198,47;;
;16204; Acción social;98,89;;
;;TOTAL GASTOS DE PERSONAL;;43.247,06;
 ; ;;;;
;202;Arrendamientos de edificios y otras construcciones;;210,00;
;22502; Locales;400,00;;
;791;Contribución a EUMETSAT para satélites meteorológicos;;35.014,44;
;;TOTAL AGENCIA ESTATAL DE METEOROLOGÍA;;131.258,14;
 ; ;;;;
 ; ;;;;
;;TOTAL Meteorología;;131.258,14;
;;



