Económica;Explicación;24.03 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.045,34;2.045,34;2.045.340,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;1.467,86;1.467,86;1.467.860,00
13;Laborales;265,76;265,76;265.760,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;250,68;250,68;250.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.580,84;1.580,84;1.580.840,00
21;Reparaciones, mantenimiento y conservación;156;156;156.000,00
22;Material, suministros y otros;1.241,84;1.241,84;1.241.840,00
22601;Atenciones protocolarias y representativas;2,34;2,34;2.340,00
23;Indemnizaciones por razón del servicio;183;183;183.000,00
4;TRANSFERENCIAS CORRIENTES;6.865,00;6.865,00;6.865.000,00
45;A Comunidades Autónomas;200;200;200.000,00
46;A Entidades Locales;1.580,00;1.580,00;1.580.000,00
47;A empresas privadas;1.900,00;1.900,00;1.900.000,00
48;A familias e instituciones sin fines de lucro;3.185,00;3.185,00;3.185.000,00
6;INVERSIONES REALES;45;45;45.000,00
7;TRANSFERENCIAS DE CAPITAL;3.355,88;3.355,88;3.355.880,00
76;A Entidades Locales;1.100,00;1.100,00;1.100.000,00
77;A empresas privadas;1.690,88;1.690,88;1.690.880,00
78;A familias e instituciones sin fines de lucro;565;565;565.000,00
—;TOTAL PROGRAMA 334B – Promoción del libro y publicaciones culturales;—;13.892,06;13.892.060,00
