Económica;Explicación;24.103;24.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.549,22;—;8.549,22;8.549.220,00
15;Incentivos al rendimiento;303,68;—;303,68;303.680,00
150;Productividad;294,24;—;294,24;294.240,00
151;Gratificaciones;9,44;—;9,44;9.440,00
16000;Seguridad Social;1.087,14;—;1.087,14;1.087.140,00
16200;Formación y perfeccionamiento del personal;15,24;—;15,24;15.240,00
16204;Acción social;12,8;—;12,8;12.800,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.242,61;10;4.252,61;4.252.610,00
22601;Atenciones protocolarias y representativas;2,06;—;2,06;2.060,00
22.502;Locales;—;5;5;5.000,00
3;GASTOS FINANCIEROS;40;—;40;40.000,00
35;Intereses de demora y otros gastos financieros;40;—;40;40.000,00
4;TRANSFERENCIAS CORRIENTES;150.382,67;—;150.382,67;150.382.670,00
45–48;A comunidades autónomas, entidades locales, empresas privadas y sin fines de lucro;150.382,67;—;150.382,67;150.382.670,00
6;INVERSIONES REALES;835;3.000,00;3.835,00;3.835.000,00
7;TRANSFERENCIAS DE CAPITAL;30;—;30;30.000,00
76;A Entidades Locales;30;—;30;30.000,00
8;ACTIVOS FINANCIEROS;54;—;54;54.000,00
83;Concesión de préstamos fuera del Sector Público;54;—;54;54.000,00
—;TOTAL PROGRAMA 335C – Cinematografía;164.133,50;3.010,00;167.143,50;167.143.500,00
