;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 321M Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.105;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;1.704,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.704,00;
 ; ;;;;
;6;INVERSIONES REALES;;40,00;
 ; ;;;;
;;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;1.744,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;;1.744,00;
;;



