;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 332A Archivos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.05;;DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;8.554,48;
;13;Laborales;;3.685,18;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.919,98;
;16000; Seguridad Social;1.919,98;;
;;TOTAL GASTOS DE PERSONAL;;14.159,64;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;1.222,81;
;22;Material, suministros y otros;;7.728,27;
;22502; Locales;18,50;;
;23;Indemnizaciones por razón del servicio;;86,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.037,08;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;20,00;
;452;Para la actualización del Censo Guía de los Archivos Españoles;;20,00;
;48;A familias e instituciones sin fines de lucro;;227,43;
;484;Ayudas a instituciones y asociaciones profesionales para el desarrollo de sus actividades;;227,43;
;48402; A Archiveros sin Fronteras para actividades de difusión de los archivos;5,00;;
;48403; Al Real Monasterio de Santa María de Poblet para la conservación y difusión del patrimonio documental del Archivo Montserrat Tarradellas i Macià (fondo documental Josep Tarradellas y otros fondos personales donados al Monasterio);50,00;;
;48404; A la Fundación Medina Sidonia para la conservación y difusión del patrimonio documental del Archivo Histórico de la Casa de Medina Sidonia;55,50;;
;48407; UNE CTN 50/SC1 Grupo de Trabajo Preservación de la Información Digital para el abono de la cuota;7,00;;
;49;Al exterior;;53,88;
;491;Cuotas a organismos internacionales y para proyectos de cooperación internacional;;53,88;
;;TOTAL TRANSFERENCIAS CORRIENTES;;301,31;
 ; ;;;;
;6;INVERSIONES REALES;;2.780,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;78;A familias e instituciones sin fines de lucro;;75,00;
;780;Ayudas a entidades privadas sin ánimo de lucro para la mejora de las instalaciones y el equipamiento de sus archivos;;75,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;75,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;;26.353,03;
 ; ;;;;
 ; ;;;;
24.105;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;35,00;
;22502; Locales;45,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;157,00;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;1,00;
;352;Intereses de demora;;1,00;
;;TOTAL GASTOS FINANCIEROS;;1,00;
 ; ;;;;
;6;INVERSIONES REALES;;21.200,00;
 ; ;;;;
;;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;21.358,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Archivos;;47.711,03;
;;



