;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 334A Promoción y cooperación cultural;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;210.350,00;
;482;Bono cultural joven;;210.000,00;
;487;Para gastos de funcionamiento de fundaciones y asociaciones vinculadas con partidos políticos con representación en las Cortes Generales, que realicen actividades de estudio y desarrollo del pensamiento político y social, en función de la representación obtenida por estos;;350,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;210.350,00;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;210.350,00;
 ; ;;;;
 ; ;;;;
24.04;;DIRECCIÓN GENERAL DE INDUSTRIAS CULTURALES, PROPIEDAD INTELECTUAL Y COOPERACIÓN;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;1.306,38;
;13;Laborales;;193,00;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;222,11;
;16000; Seguridad Social;222,11;;
;;TOTAL GASTOS DE PERSONAL;;1.782,53;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;18,00;
;22;Material, suministros y otros;;1.659,29;
;22601; Atenciones protocolarias y representativas;2,00;;
;23;Indemnizaciones por razón del servicio;;65,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.742,29;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;460,00;
;445;A la Fundación Instituto de Cultura Gitana para sus gastos de funcionamiento;;350,00;
