;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 334B Promoción del libro y publicaciones culturales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.03;;DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;1.467,86;
;13;Laborales;;265,76;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;250,68;
;16000; Seguridad Social;250,68;;
;;TOTAL GASTOS DE PERSONAL;;2.045,34;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;156,00;
;22;Material, suministros y otros;;1.241,84;
;22601; Atenciones protocolarias y representativas;2,34;;
;23;Indemnizaciones por razón del servicio;;183,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.580,84;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;200,00;
;450;A la Comunidad Autónoma de les Illes Balears para el desarrollo de actuaciones de fomento del uso de la lengua catalana en formato escrito y gráfico;;200,00;
;46;A Entidades Locales;;1.580,00;
;460;Ayudas a entidades locales para actividades de Promoción de la Lectura (Plan de Fomento de la Lectura);;1.400,00;
;461;Al Consell de Mallorca para el apoyo a la producción editorial y fonográfica en lengua catalana;;150,00;
;462;A la Fundación Max Aub de la Comunidad Valenciana para proyectos relacionados con el fomento de la lectura (Plan de Fomento de la Lectura);;30,00;
;47;A empresas privadas;;1.900,00;
;477;Ayudas para empresas editoras de revistas culturales;;700,00;
;478;Ayudas para la traducción de libros entre lenguas del Estado;;200,00;
;479;Ayudas para la promoción de la lectura y la difusión de las letras españolas (Plan de Fomento de la Lectura);;1.000,00;
;48;A familias e instituciones sin fines de lucro;;3.185,00;
;481;Ayudas para la acción y la promoción cultural;;3.060,00;
;482;A la Reial Academia de Bones Lletres de Barcelona para proyectos relacionados con el fomento de la lectura (Plan de Fomento de la Lectura);;15,00;
;483;A la Fundación Francisco Brines para proyectos relacionados con el fomento de la lectura (Plan de Fomento de la Lectura);;30,00;
;485;A la Fundación María Zambrano para actividades de promoción del libro y la lectura (Plan de Fomento de la Lectura);;30,00;
;486;A la Fundación José Ortega y Gasset-Gregorio Marañón (FOM) para la realización de actividades de fomento y promoción de la lectura (Plan de Fomento de la Lectura);;50,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;6.865,00;
 ; ;;;;
;6;INVERSIONES REALES;;45,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;1.100,00;
;763;Campaña de animación a la lectura "María Moliner" para proyectos de animación lectora en municipios de menos de 50.000 habitantes (Plan de Fomento de la Lectura);;1.100,00;
;77;A empresas privadas;;1.690,88;
;772;Actividades en desarrollo del Plan de Fomento de la Lectura;;40,88;
;775;Ayudas para la edición de libros;;1.150,00;
;776;Ayudas para proyectos de revalorización cultural y modernización de las librerías;;500,00;
;78;A familias e instituciones sin fines de lucro;;565,00;
;781;A la Confederación Española de Gremios y Asociaciones de Libreros (CEGAL) para apoyar el desarrollo tecnológico de la plataforma Todostuslibros.com;;135,00;
;782;Al Centre de Lectura de Reus, para las obras de rehabilitación de su sede;;150,00;
;783;Concurso de promoción de la lectura en los jóvenes (Plan de Fomento de la Lectura);;30,00;
;784;Programa de animación a la lectura en mundo rural (Plan de Fomento de la Lectura);;250,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;3.355,88;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;;13.892,06;
 ; ;;;;
 ; ;;;;
;;TOTAL Promoción del libro y publicaciones culturales;;13.892,06;
;;



