;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 335A Música y danza;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
24.105;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;5,00;
 ; ;;;;
;6;INVERSIONES REALES;;2.250,00;
 ; ;;;;
;;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;;2.255,00;
 ; ;;;;
 ; ;;;;
24.107;;INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;516,02;
;150;Productividad;;340,21;
;151;Gratificaciones;;175,81;
;16000; Seguridad Social;7.002,63;;
;;TOTAL GASTOS DE PERSONAL;;37.871,87;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;1.050,00;
;22502; Locales;450,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;33.848,94;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;53,48;
;359;Otros gastos financieros;;53,48;
;;TOTAL GASTOS FINANCIEROS;;53,48;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;12.202,31;
;441;Programa de ayudas para actividades musicales y coreográficas de ámbito nacional;;28,93;
;444;A la Fundación Nacional del Teatro Real F.S.P. para sus actividades;;12.173,38;
;45;A Comunidades Autónomas;;15.256,93;
;451;Programa de ayudas para actividades musicales de ámbito nacional e internacional;;86,80;
;454;Apoyo al funcionamiento de entidades musicales, teatrales, circenses y de danza en el ámbito de las comunidades autónomas;;15.090,13;
;45400; Al Consorcio del Teatro de la Maestranza y Salas del Arenal para sus actividades;2.500,00;;
;45404; A la Fundació Palau de les Arts de la Comunidad Valenciana para sus actividades;2.500,00;;
;45406; Al Instituto Complutense de Ciencias Musicales para sus actividades;37,73;;
;45409; Al Festival Internacional de Música y Danza de Granada para sus actividades;494,58;;
;45410; A la Fundación Cante de las Minas para sus actividades;70,34;;
;45411; A la Fundación Pública Festival Internacional de Santander para sus actividades;103,50;;
;45412; A la Fundación del Gran Teatre del Liceu para sus actividades;7.283,98;;
;45413; A la Fundación del Gran Teatre del Liceu. Aportación adicional para necesidades de tesorería;1.950,00;;
;45414; Al Instituto Canario de Desarrollo Cultura S.A. para el Festival Internacional de la Música de Canarias;150,00;;
;459;Transferencias a instituciones de música y danza;;80,00;
;45907; A la Federació de Societats Musicals de la Comunitat Valenciana (FSMCV);80,00;;
;46;A Entidades Locales;;1.002,08;
;461;Programa de ayudas a festivales y otras actividades musicales de ámbito nacional;;482,22;
;464;Apoyo a festivales, muestras, ferias y otras actividades musicales, teatrales y circenses organizadas por corporaciones locales;;519,86;
;46444; A la Quincena Musical de Donostia-San Sebastián;150,00;;
;46445; Al Consorci Mercat de les Flors-Centre de les Arts de Moviment para el desarrollo de sus actividades;300,00;;
;46447; A la Fundación Patronato Semana de Música Religiosa de Cuenca;69,86;;
;47;A empresas privadas;;4.748,54;
;473;Programa de ayudas para giras y producciones de personas y conjuntos musicales y coreográficos;;4.748,54;
;48;A familias e instituciones sin fines de lucro;;6.797,74;
;480;Programas de actividades de música y danza de entidades sin fines de lucro;;2.389,73;
