;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
144A; Cooperación, promoción y difusión cultural en el exterior;333,67;2.409,44;;7.116,27;5,39;426,00;;10.290,77;10.290,77;
321M; Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;;1.704,00;;;40,00;;;1.744,00;1.744,00;
322L; Inversiones en centros educativos y otras actividades educativas;;1.023,00;;;14.661,62;;;15.684,62;15.684,62;
331M; Dirección y Servicios Generales de Cultura;35.767,82;11.918,23;4,50;81,50;8.253,32;;160,94;56.186,31;56.186,31;
332A; Archivos;14.159,64;9.194,08;1,00;301,31;23.980,00;75,00;;47.711,03;47.711,03;
332B; Bibliotecas;19.610,14;11.876,46;1,00;1.501,62;32.065,33;;63,00;65.117,55;65.117,55;
333A; Museos;71.971,66;60.439,11;45,00;26.004,63;67.458,59;7.458,00;152,80;233.529,79;233.529,79;
333B; Exposiciones;327,76;779,29;;460,00;27,24;;;1.594,29;1.594,29;
334A; Promoción y cooperación cultural;1.782,53;1.752,29;;231.060,42;43,00;54.396,00;;289.034,24;289.034,24;
334B; Promoción del libro y publicaciones culturales;2.045,34;1.580,84;;6.865,00;45,00;3.355,88;;13.892,06;13.892,06;
334C; Fomento de las industrias culturales;732,29;;;1.500,00;;3.940,00;11.000,00;17.172,29;17.172,29;
335A; Música y danza;37.871,87;33.853,94;53,48;40.007,60;6.258,36;4.551,00;30,00;122.626,25;122.626,25;
335B; Teatro;17.773,78;22.065,20;30,00;12.916,53;4.029,62;3.000,00;401,72;60.216,85;60.216,85;
335C; Cinematografía;8.549,22;4.252,61;40,00;150.382,67;3.835,00;30,00;54,00;167.143,50;167.143,50;
337B; Conservación y restauración de bienes culturales;4.665,50;1.848,50;;130,00;18.642,93;13.520,00;;38.806,93;38.806,93;
337C; Protección del Patrimonio Histórico;2.569,64;2.050,64;5,00;1.573,83;6.937,50;660,00;;13.796,61;13.796,61;
;TOTAL CONSOLIDADO;218.160,86;166.747,63;179,98;479.901,38;186.282,90;91.411,88;11.862,46;1.154.547,09;1.154.547,09;
000X; Transferencias y libramientos internos;;;;376.246,18;;123.488,83;;499.735,01;499.735,01;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;376.246,18;;123.488,83;;499.735,01;499.735,01;
;TOTAL;218.160,86;166.747,63;179,98;856.147,56;186.282,90;214.900,71;11.862,46;1.654.282,10;1.654.282,10;
;;



