Clasif. por programas;Explicación;ESTADO (mil €);OO.AA. (mil €);R. ENTIDADES (mil €);Total (mil €);Total (€)
144A;Cooperación, promoción y difusión cultural en el exterior;3.972,56;6.318,21;—;10.290,77;10.290.770,00
321M;Dirección y Servicios Generales de Educación, FP y Deportes;—;1.744,00;—;1.744,00;1.744.000,00
322L;Inversiones en centros educativos y otras actividades educativas;—;15.684,62;—;15.684,62;15.684.620,00
331M;Dirección y Servicios Generales de Cultura;45.474,01;10.712,30;—;56.186,31;56.186.310,00
332A;Archivos;26.353,03;21.358,00;—;47.711,03;47.711.030,00
332B;Bibliotecas;7.083,47;58.034,08;—;65.117,55;65.117.550,00
333A;Museos;86.566,36;30.404,00;116.559,43;233.529,79;233.529.790,00
333B;Exposiciones;1.594,29;—;—;1.594,29;1.594.290,00
334A;Promoción y cooperación cultural;289.024,24;0,01;—;289.034,25;289.034.250,00
334B;Promoción del libro y publicaciones culturales;13.892,06;—;—;13.892,06;13.892.060,00
334C;Fomento de las industrias culturales;17.172,29;—;—;17.172,29;17.172.290,00
335A;Música y danza;—;122.626,25;—;122.626,25;122.626.250,00
335B;Teatro;—;60.216,85;—;60.216,85;60.216.850,00
335C;Cinematografía;—;167.143,50;—;167.143,50;167.143.500,00
337B;Conservación y restauración de bienes culturales;38.791,93;0,02;—;38.795,95;38.795.950,00
337C;Protección del Patrimonio Histórico;13.796,61;—;—;13.796,61;13.796.610,00
TOTAL CONSOLIDADO;;543.720,85;494.266,81;116.559,43;1.154.547,09;1.154.547.090,00
000X;Transferencias y libramientos internos;499.735,01;—;—;499.735,01;499.735.010,00
TOTAL GENERAL;;1.043.455,86;494.266,81;116.559,43;1.654.282,10;1.654.282.100,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
