;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
144A; Cooperación, promoción y difusión cultural en el exterior;3.972,56;6.318,21;;10.290,77;
321M; Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;;1.744,00;;1.744,00;
322L; Inversiones en centros educativos y otras actividades educativas;;15.684,62;;15.684,62;
331M; Dirección y Servicios Generales de Cultura;45.474,01;10.712,30;;56.186,31;
332A; Archivos;26.353,03;21.358,00;;47.711,03;
332B; Bibliotecas;7.083,47;58.034,08;;65.117,55;
333A; Museos;86.566,36;30.404,00;116.559,43;233.529,79;
333B; Exposiciones;1.594,29;;;1.594,29;
334A; Promoción y cooperación cultural;289.024,24;10,00;;289.034,24;
334B; Promoción del libro y publicaciones culturales;13.892,06;;;13.892,06;
334C; Fomento de las industrias culturales;17.172,29;;;17.172,29;
335A; Música y danza;;122.626,25;;122.626,25;
335B; Teatro;;60.216,85;;60.216,85;
335C; Cinematografía;;167.143,50;;167.143,50;
337B; Conservación y restauración de bienes culturales;38.791,93;15,00;;38.806,93;
337C; Protección del Patrimonio Histórico;13.796,61;;;13.796,61;
;TOTAL CONSOLIDADO;543.720,85;494.266,81;116.559,43;1.154.547,09;
000X; Transferencias y libramientos internos;499.735,01;;;499.735,01;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;499.735,01;;;499.735,01;
;TOTAL;1.043.455,86;494.266,81;116.559,43;1.654.282,10;
;;



