Clasif. por programas;Explicación;Estado (mil €);Total (mil €);Total (€)
26BA;C02.I01 Programa de rehabilitación para la recuperación económica y social en entornos residenciales;1.980.000,00;1.980.000,00;1.980.000.000,00
26BB;C02.I02 Programa de construcción de viviendas en alquiler social en edificios energéticamente eficientes;500.000,00;500.000,00;500.000.000,00
261M;Dirección y Servicios Generales de Vivienda y Agenda Urbana;4.254,00;4.254,00;4.254.000,00
261N;Promoción, administración y ayudas para rehabilitación y acceso a vivienda;959.351,75;959.351,75;959.351.750,00
261O;Ordenación y fomento de la edificación;30.441,82;30.441,82;30.441.820,00
261P;Urbanismo y política del suelo;6.722,08;6.722,08;6.722.080,00
TOTAL CONSOLIDADO;;3.480.769,65;3.480.769,65;3.480.769.650,00
000X;Transferencias y libramientos internos;900;900;900.000,00
TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;900;900;900.000,00
TOTAL GENERAL;;3.481.669,65;3.481.669,65;3.481.669.650,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
