Económica;Explicación;Total (mil €);Total (€)
1;GASTOS DE PERSONAL;8.648,49;8.648.490,00
10;Altos cargos;61,04;61.040,00
12;Funcionarios;7.010,01;7.010.010,00
13;Laborales;259,95;259.950,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador (Seguridad Social);1.317,49;1.317.490,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;30.902,61;30.902.610,00
21;Reparaciones, mantenimiento y conservación;130;130.000,00
22;Material, suministros y otros;30.485,21;30.485.210,00
22502;Locales;10;10.000,00
23;Indemnizaciones por razón del servicio;287,4;287.400,00
4;TRANSFERENCIAS CORRIENTES;108.758,84;108.758.840,00
45;A Comunidades Autónomas;106.069,07;106.069.070,00
452–457;Equipamiento salud mental, enfermedades raras, atención primaria, salud mental La Palma;Incluido;—
48;A familias e instituciones sin fines de lucro;2.163,77;2.163.770,00
484–488;Hemofilia, VIH, SIDA;Incluido;—
49;Al exterior;526;526.000,00
491–492;OMS y OCDE;Incluido;—
6;INVERSIONES REALES;469,15;469.150,00
7;TRANSFERENCIAS DE CAPITAL;568.374,00;568.374.000,00
75;A Comunidades Autónomas;568.374,00;568.374.000,00
750–754;Atención primaria, salud mental, universidades;Incluido;—
;TOTAL PROGRAMA 313B – Salud Pública, Sanidad Exterior y Calidad;717.153,09;717.153.090,00
