;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 311O Políticas de Salud y Ordenación Profesional;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;26.04;26.12;Total;
1;GASTOS DE PERSONAL;990,62;3.371,76;4.362,38;
10; Altos cargos;80,30;61,04;141,34;
11; Personal eventual;254,57;;254,57;
12; Funcionarios;489,07;2.760,18;3.249,25;
13; Laborales;;110,55;110,55;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;166,68;439,99;606,67;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;266,27;3.168,07;3.434,34;
22; Material, suministros y otros;142,03;1.897,97;2.040,00;
23; Indemnizaciones por razón del servicio;124,24;1.270,10;1.394,34;
6;INVERSIONES REALES;3,00;6,00;9,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;3,00;3,00;
64; Gastos de inversiones de carácter inmaterial;3,00;3,00;6,00;
;TOTAL;1.259,89;6.545,83;7.805,72;
;;



