Económica;Explicación;Importe (miles €);Importe (€);
471;Plan de Digitalización de la Cámara Oficial de Comercio, Industria, Servicios y Navegación de España;1.000,00;1.000.000;
742;Al ICEX para la ejecución de los Programas del Mecanismo de Recuperación y Resiliencia;52.895,00;52.895.000;
743;A COFIDES para el Programa de impulso de proyectos de inversión de impacto;850;850.000;
781;A la Cámara Oficial de Comercio, Industria y Navegación en España. Programa de Mentoring y Apoyo a la Internacionalización;13.000,00;13.000.000;
87901;Línea de Financiación no reembolsable de estudios de viabilidad (FIEM);20.000,00;20.000.000;
87902;Al Fondo de Coinversión con Instituciones Soberanas;950.000,00;950.000.000;
TOTAL;—;1.042.350,00;1.042.350.000;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
