Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.10;44704;Al ICEX para funcionamiento (internacionalización e inversión extranjera);15.886,77;15.886.770
27.10;460;Fira de Mollerussa – 150ª Fira de Sant Josep;100;100.000
27.10;480;Becas Fulbright de comercio;120;120.000
27.10;74701;Al ICEX para operaciones de capital;66.816,29;66.816.290
Subtotal Secretaría de Estado de Comercio;—;—;82.923,06;82.923.060
27.14;10;Altos cargos;61,04;61.040
27.14;12;Funcionarios;14.052,67;14.052.670
27.14;13;Laborales;2.817,07;2.817.070
27.14;16000;Seguridad Social;1.867,09;1.867.090
27.14;202;Arrendamientos de edificios;7.600,00;7.600.000
27.14;21;Reparaciones, mantenimiento y conservación;660,52;660.520
27.14;22;Material, suministros y otros;3.826,71;3.826.710,00
27.14;22601;Atenciones protocolarias;13,1;13.100,00
27.14;23;Indemnizaciones por razón del servicio;3.293,83;3.293.830
27.14;359;Otros gastos financieros;116,93;116.930
27.14;444;Transferencias al ICO (Ley 14/2013);30;30.000
27.14;450;Convenio internacionalización Canarias;500;500.000
27.14;490;Subvención a Cámaras de Comercio en el extranjero;5;5.000
27.14;6;Inversiones reales;1.400,00;1.400.000,00
27.14;841;Fianzas;145;145.000
27.14;871;Fondo FIEM;120.000,00;120.000.000
27.14;872;Fondo FIEX;100.000,00;100.000.000,00
27.14;873;Fondo FONPYME;10.000,00;10.000.000,00
27.14;874;Fondo FRRI;1,5;1.500
Subtotal Dirección General de Comercio Internacional e Inversiones;—;—;266.377,36;266.377.360,00
27.15;12;Funcionarios;31.655,17;31.655.170
27.15;13;Laborales;22.111,13;22.111.130,00
27.15;16000;Seguridad Social;6.383,90;6.383.900
Subtotal Dirección General de Política Comercial;—;—;60.150,20;60.150.200
TOTAL PROGRAMA 431A;—;—;409.450,62;409.450.620
