Económica;Explicación;27.01;27.02;27.03;27.10;27.14;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;30.122,42;2.322,41;4.583,03;5.217,47;—;42.245,33;42.245.330,00
10;Altos cargos;416,91;61,04;80,3;80,3;—;638,55;638.550,00
11;Personal eventual;718,75;—;215,15;210,14;—;1.144,04;1.144.040,00
12;Funcionarios;20.752,61;2.020,74;661,55;2.389,82;—;25.824,72;25.824.720,00
13;Laborales;1.935,25;—;—;389,03;—;2.324,28;2.324.280,00
15;Incentivos al rendimiento;3.251,50;—;3.521,29;1.872,19;—;8.644,98;8.644.980,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.047,40;240,63;104,74;275,99;—;3.668,76;3.668.760,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;17.261,91;134,58;99,33;547,96;2.825,81;20.869,59;20.869.590,00
20;Arrendamientos y cánones;—;—;—;—;756,5;756,5;756.500,00
21;Reparaciones, mantenimiento y conservación;1.970,76;—;7,75;75,32;170,17;2.224,00;2.224.000,00
22;Material, suministros y otros;14.771,15;31,65;45,81;373,04;1.708,36;16.930,01;16.930.010,00
23;Indemnizaciones por razón del servicio;520;16,15;45,77;99,6;190,78;872,30;872.300,00
24;Gastos de publicaciones;—;86,78;—;—;—;86,78;86.780,00
3;GASTOS FINANCIEROS;15,00;—;2,65;—;—;17,65;17.650,00
35;Intereses de demora y otros gastos financieros;15,00;—;2,65;—;—;17,65;17.650,00
4;TRANSFERENCIAS CORRIENTES;—;—;—;1.000,00;—;1.000,00;1.000.000,00
48;A familias e instituciones sin fines de lucro;—;—;—;1.000,00;—;1.000,00;1.000.000,00
6;INVERSIONES REALES;5.067,64;—;2,1;72,5;128,91;5.271,15;5.271.150,00
62;Inversión nueva asociada al funcionamiento operativo;318,00;—;—;—;118,32;436,32;436.320,00
63;Inversión de reposición asociada al funcionamiento operativo;2.063,72;—;0,3;72,5;10,59;2.147,11;2.147.110,00
64;Gastos de inversiones de carácter inmaterial;2.685,92;—;1,8;—;—;2.687,72;2.687.720,00
8;ACTIVOS FINANCIEROS;191,32;—;—;—;—;191,32;191.320,00
83;Concesión de préstamos fuera del Sector Público;191,32;—;—;—;—;191,32;191.320,00
—;TOTAL PROGRAMA 923Q – Dirección y Servicios Generales;52.658,29;2.456,99;4.687,11;6.837,93;2.954,72;69.595,04;69.595.040,00
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
