Económica;Explicación;27.03 (miles €);27.102 (miles €);Total (miles €);Total (€)
4;TRANSFERENCIAS CORRIENTES;193.756,19;393,46;194.149,65;194.149.650,00
40;A la Administración del Estado;—;393,46;393,46;393.460,00
41;A Organismos Autónomos;139.253,04;—;139.253,04;139.253.040,00
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54.503,15;—;54.503,15;54.503.150,00
7;TRANSFERENCIAS DE CAPITAL;27.966,83;—;27.966,83;27.966.830,00
71;A Organismos Autónomos;24.053,12;—;24.053,12;24.053.120,00
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;3.913,71;—;3.913,71;3.913.710,00
—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;221.723,02;393,46;222.116,48;222.116.480,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
