;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 491N Servicio postal universal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.302;;Total;
4;TRANSFERENCIAS CORRIENTES;110.000,00;;110.000,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;110.000,00;;110.000,00;
;TOTAL;110.000,00;;110.000,00;
;;



