;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 923O Gestión de la Deuda y de la Tesorería del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.04;;SECRETARÍA GENERAL DEL TESORO Y FINANCIACIÓN INTERNACIONAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;132,20;
;12;Funcionarios;;7.386,28;
;13;Laborales;;576,56;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;842,90;
;16000; Seguridad Social;842,90;;
;;TOTAL GASTOS DE PERSONAL;;8.937,94;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;0,85;
;21;Reparaciones, mantenimiento y conservación;;402,84;
;22;Material, suministros y otros;;34.562,13;
;22601; Atenciones protocolarias y representativas;5,69;;
;22708; Gastos derivados de la acuñación, retirada y desmonetización de moneda metálica y obligaciones de ejercicios anteriores;34.200,00;;
;23;Indemnizaciones por razón del servicio;;657,25;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;35.623,07;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;15.060,44;
;351;Cobertura de riesgos en avales prestados por el Tesoro, incluidos los riesgos de ejercicios anteriores;;13.219,99;
;355;Compensaciones derivadas de la ejecución de avales frente al Tesoro Público;;176,00;
;359;Otros gastos financieros;;1.664,45;
;;TOTAL GASTOS FINANCIEROS;;15.060,44;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;200,00;
;486;Indemnizaciones a los afectados por el síndrome tóxico, según Sentencia de la Sala Segunda del Tribunal Supremo de 26 de septiembre de 1997;;200,00;
;49;Al exterior;;522,22;
;491;Contribución al Centro BRUEGEL;;209,18;
;492;Contribución al Grupo de Acción Financiera Internacional contra el Blanqueo de Capitales;;170,00;
;493;Contribución de España a los gastos de gestión de su oficina de representación conjunta ante el FMI;;135,04;
;495;Contribuciones a organismos de la OCDE;;8,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;722,22;
 ; ;;;;
;6;INVERSIONES REALES;;846,36;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;89;Suscripción de acciones y aportaciones de fondos a organismos internacionales;;1,00;
;891;Real Decreto-ley 4/2016. A la Junta Única de Resolución según lo establecido en artículo 1;;1,00;
;;TOTAL ACTIVOS FINANCIEROS;;1,00;
 ; ;;;;
;9;PASIVOS FINANCIEROS;;;
;95;Puesta en circulación de moneda metálica;;1,00;
;951;Puesta en circulación negativa de moneda metálica;;1,00;
;;TOTAL PASIVOS FINANCIEROS;;1,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DEL TESORO Y FINANCIACIÓN INTERNACIONAL;;61.192,03;
 ; ;;;;
 ; ;;;;
;;TOTAL Gestión de la Deuda y de la Tesorería del Estado;;61.192,03;
;;



