Clasificación por programa;Explicación;Estado ;OO.AA. ;Resto Entidades;Total (miles euros);Total (euros)
425A;Normativa y desarrollo energético;—;—;3.514.141,75;3.514.141,75;3.514.141.750,00
43MD;C13.I04 Apoyo al Comercio;123.150,00;—;—;123.150,00;123.150.000,00
43ME;C13.I05 Internacionalización. PYMES;1.042.350,00;—;—;1.042.350,00;1.042.350.000,00
431A;Promoción comercial e internacionalización de la empresa;409.450,62;—;—;409.450,62;409.450.620,00
431N;Ordenación del comercio exterior;9.832,45;—;—;9.832,45;9.832.450,00
431O;Ordenación y modernización de las estructuras comerciales;10.604,07;—;—;10.604,07;10.604.070,00
491N;Servicio postal universal;—;—;110.000,00;110.000,00;110.000.000,00
492M;Defensa de la competencia y regulación de sectores productivos;—;—;62.292,65;62.292,65;62.292.650,00
493M;Dirección, control y gestión de seguros;18.938,42;—;—;18.938,42;18.938.420,00
493O;Regulación contable y de auditorías;—;10.514,31;—;10.514,31;10.514.310,00
92KA;C11.I01 Modernización de la AGE. Servicios de carácter general;2.606,83;—;—;2.606,83;2.606.830,00
923C;Elaboración y difusión estadística;—;192.789,17;—;192.789,17;192.789.170,00
923O;Gestión de la Deuda y Tesorería del Estado;61.191,03;—;—;61.191,03;61.191.030,00
923P;Relaciones con Instituciones Financieras Multilaterales;519.834,66;—;—;519.834,66;519.834.660,00
923Q;Dirección y Servicios Generales de Economía, Comercio y Empresa;69.595,04;—;—;69.595,04;69.595.040,00
931M;Previsión y política económica;20.307,86;—;—;20.307,86;20.307.860,00
—;TOTAL CONSOLIDADO;2.287.860,98;203.303,48;3.686.434,40;6.177.598,86;6.177.598.860,00
000X;Transferencias y libramientos internos;221.723,02;393,46;—;222.116,48;222.116.480,00
—;TOTAL GENERAL;2.509.584,00;203.696,94;3.686.434,40;6.399.715,34;6.399.715.340,00
