Económica;Explicación;CIEMAT (28.103);ISCIII (28.107);CSIC (28.301);AEI (28.303);Total (miles €);Total (€)
2;Gastos corrientes en bienes y servicios;—;52,6;—;—;52,6;52.600,00
29;Gastos corrientes – Mecanismo de Recuperación y Resiliencia;—;52,6;—;—;52,6;52.600,00
6;Inversiones reales;26,3;—;2.956,70;—;2.983,00;2.983.000,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia;26,3;—;2.956,70;—;2.983,00;2.983.000,00
7;Transferencias de capital;—;—;—;215.974,40;215.974,40;215.974.400,00
75;A Comunidades Autónomas;—;—;—;215.974,40;215.974,40;215.974.400,00
—;TOTAL PROGRAMA C17.I04;26,3;52,6;2.956,70;215.974,40;219.010,00;219.010.000,00
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
