Orgánica;Económica;Explicación;Importe (miles €);Importe (€)
28.50;74910;Al CDTI para el Plan Tecnológico Aeronáutico. Mecanismo de Recuperación y Resiliencia;40.000,00;40.000.000,00 €
28.50;87003;Al CDTI para programas de innovación y eficiencia energética en el entorno productivo aeroespacial. MRR;200.000,00;200.000.000,00 €
—;—;TOTAL CDTI – Mecanismo de Recuperación y Resiliencia;240.000,00;240.000.000,00 €
—;—;TOTAL PROGRAMA C17.I09;240.000,00;240.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
