Económica;Explicación;28.103 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;59.677,91;59.677,91;59.677.910
15;Incentivos al rendimiento;3.135,57;3.135,57;3.135.570
150;Productividad;3.115,71;3.115,71;3.115.710
151;Gratificaciones;19,86;19,86;19.860
16000;Seguridad Social;10.594,17;10.594,17;10.594.170
16200;Formación y perfeccionamiento del personal;45,21;45,21;45.210
16201;Economatos y comedores;511,14;511,14;511.140
16204;Acción social;308,26;308,26;308.260
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.025,51;27.025,51;27.025.510
202;Arrendamientos de edificios y otras construcciones;3.145,00;3.145,00;3.145.000
22502;Locales;97;97;97.000
22601;Atenciones protocolarias y representativas;11,1;11,1;11.100,00
3;GASTOS FINANCIEROS;1.139,36;1.139,36;1.139.360,00
35;Intereses de demora y otros gastos financieros;1.139,36;1.139,36;1.139.360
352;Intereses de demora;1.135,65;1.135,65;1.135.650
359;Otros gastos financieros;3,71;3,71;3.710
4;TRANSFERENCIAS CORRIENTES;554,2;554,2;554.200
48;A familias e instituciones sin fines de lucro;124,5;124,5;124.500
482;Cuotas asociaciones;46,5;46,5;46.500,00
483;Becas de formación de personal investigador;78;78;78.000
49;Al exterior;429,7;429,7;429.700
491;Agencia Internacional de la Energía;95;95;95.000,00
492;OIEA;21;21;21.000
493;AEN/Banco de Datos OCDE;165;165;165.000
494;Asociaciones internacionales energía y medio ambiente;148,7;148,7;148.700,00
6;INVERSIONES REALES;24.572,25;24.572,25;24.572.250
7;TRANSFERENCIAS DE CAPITAL;2.197,00;2.197,00;2.197.000
75;A Comunidades Autónomas;1.584,00;1.584,00;1.584.000,00
750;Fundación Parque Científico de Madrid;84;84;84.000,00
751;UPV – infraestructura offshore;1.500,00;1.500,00;1.500.000
78;A familias e instituciones sin fines de lucro;7;7;7.000,00
785;Fundación Energía sin Fronteras;7;7;7.000
79;Al exterior;606;606;606.000
790;Aportaciones;606;606;606.000
8;ACTIVOS FINANCIEROS;128;128;128.000
83;Préstamos fuera del Sector Público;125;125;125.000
830;Préstamos a corto plazo;75;75;75.000
831;Préstamos a largo plazo;50;50;50.000
86;Acciones y participaciones fuera del Sector Público;3;3;3.000
860;Empresas nacionales o UE;3;3;3.000
—;TOTAL PROGRAMA 467H;—;115.294,23;115.294.230
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
