;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 144B Cooperación, promoción y difusión educativa en el exterior;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.102;;SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;12,61;
;150;Productividad;;12,61;
;16000; Seguridad Social;144,29;;
;16200; Formación y perfeccionamiento del personal;10,16;;
;16204; Acción social;44,30;;
;;TOTAL GASTOS DE PERSONAL;;656,11;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;1,05;
;22601; Atenciones protocolarias y representativas;1,05;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.088,37;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;1,00;
;352;Intereses de demora;;0,50;
;359;Otros gastos financieros;;0,50;
;;TOTAL GASTOS FINANCIEROS;;1,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1,00;
;440;Ayudas a instituciones universitarias para participación en ferias y otras acciones de internacionalización;;1,00;
;45;A Comunidades Autónomas;;65,70;
;451;Ayudas a universidades para participación en ferias y otras acciones de internacionalización;;65,70;
;47;A empresas privadas;;18,00;
;470;Ayudas a universidades privadas para participación en ferias y otras acciones de internacionalización;;18,00;
;48;A familias e instituciones sin fines de lucro;;71,94;
;480;Ayudas a universidades de carácter fundacional para becas, participación en ferias y otras acciones de internacionalización;;21,94;
;485;Programa de becas doctorales y postdoctorales en Brasil;;50,00;
;49;Al exterior;;22,00;
;491;Asociación de Cooperación Académica (ACA);;22,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;178,64;
 ; ;;;;
;6;INVERSIONES REALES;;106,29;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;8,00;
;830;Préstamos a corto plazo;;2,50;
;831;Préstamos a largo plazo;;5,50;
;;TOTAL ACTIVOS FINANCIEROS;;8,00;
 ; ;;;;
;;TOTAL SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN;;2.038,41;
 ; ;;;;
 ; ;;;;
;;TOTAL Cooperación, promoción y difusión educativa en el exterior;;2.038,41;
;;



