;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 323M Becas y ayudas a estudiantes;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.09;;SECRETARÍA GENERAL DE UNIVERSIDADES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;80,00;
;456;Programa Campus Inclusivos, Campus sin Límites;;80,00;
;48;A familias e instituciones sin fines de lucro;;949,10;
;488;Becas y otras ayudas;;949,10;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.029,10;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE UNIVERSIDADES;;1.029,10;
 ; ;;;;
 ; ;;;;
28.101;;UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;8.906,04;
;487;Concesión de becas y premios;;622,46;
;488;Concesión de becas de inmersión lingüística;;8.223,58;
;489;Concesión de becas Programa "Campus Rural";;60,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;8.906,04;
 ; ;;;;
;;TOTAL UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO;;8.906,04;
 ; ;;;;
 ; ;;;;
28.102;;SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;50,00;
;441;Cofinanciación nacional Programa Erasmus +;;50,00;
;45;A Comunidades Autónomas;;10.000,00;
;452;Cofinanciación nacional Programa Erasmus+;;10.000,00;
;46;A Entidades Locales;;450,00;
;460;Cofinanciación nacional Programa Erasmus +;;450,00;
;47;A empresas privadas;;10.000,00;
;471;Cofinanciación nacional Programa Erasmus +;;10.000,00;
;48;A familias e instituciones sin fines de lucro;;19.500,00;
;484;Cofinanciación nacional Programa Erasmus +;;19.500,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;40.000,00;
 ; ;;;;
;;TOTAL SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN;;40.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Becas y ayudas a estudiantes;;49.935,14;
;;



