;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 467C Investigación y desarrollo tecnológico-industrial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.08;;SECRETARÍA GENERAL DE INNOVACIÓN;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;71,16;
;12;Funcionarios;;1.891,98;
;13;Laborales;;219,40;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;259,92;
;16000; Seguridad Social;259,92;;
;;TOTAL GASTOS DE PERSONAL;;2.442,46;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;2.326,74;
;22601; Atenciones protocolarias y representativas;4,26;;
;23;Indemnizaciones por razón del servicio;;211,94;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.538,68;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;5,00;
;352;Intereses de demora;;5,00;
;;TOTAL GASTOS FINANCIEROS;;5,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;11.748,07;
;449;Transferencias, ayudas nominativas y otros;;11.748,07;
;44900; A la Fundación Española para la Ciencia y la Tecnología;10.152,00;;
;44904; Al CDTI para las oficinas de la Red Exterior;908,30;;
;44905; Al CDTI para la financiación de la RED PI+D+i;687,77;;
;46;A Entidades Locales;;5.153,85;
;460;Apoyo a la contratación de agentes de innovación para las entidades locales. Red Innpulso;;5.000,00;
;461;A la Empresa Municipal de Iniciativas y Actividades Empresariales de Málaga, S.A. (PROMALAGA) para la organización del Foro Europeo para la Ciencia, la Tecnología y la Innovación (TRANSFIERE);;153,85;
;47;A empresas privadas;;50,00;
;471;Premios Nacionales de Innovación y de Diseño;;50,00;
;48;A familias e instituciones sin fines de lucro;;250,00;
;480;Transferencias, ayudas nominativas y otros;;150,00;
;48004; A la Secretaría de la Asociación Red INNPULSO para gastos de funcionamiento;150,00;;
;485;Premios Nacionales de Innovación y de Diseño;;100,00;
;49;Al exterior;;220,72;
;499;Transferencias, ayudas nominativas y otros;;220,72;
;;TOTAL TRANSFERENCIAS CORRIENTES;;17.422,64;
 ; ;;;;
;6;INVERSIONES REALES;;545,75;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;513.831,05;
;749;Transferencias, ayudas nominativas y otros;;513.831,05;
;74900; A la Fundación Española para la Ciencia y la Tecnología;4.000,00;;
;74904; Al CDTI para la cobertura de los costes de sus actividades de financiación;18.081,05;;
;74907; Al CDTI para proyectos de I+D+i empresarial cofinanciados por el FEDER;26.750,00;;
;74908; Al CDTI para proyectos de I+D+i empresarial;65.000,00;;
;74920; Al CDTI para la financiación de la participación en programas espaciales;300.000,00;;
;74921; Al CDTI para el Programa Misiones Ciencia e Innovación;70.000,00;;
;74923; Al CDTI para compra pública precomercial para extinción de incendios forestales;15.000,00;;
;75;A Comunidades Autónomas;;8.000,00;
;750;Aportación al proyecto de la Ciudad del Envase y el Embalaje de la Comunidad Autónoma de la Rioja;;500,00;
;751;A la Universidad del País Vasco (UPV) Proyecto Mobility Lab;;500,00;
;752;A la Generalitat de Catalunya para fomento de la investigación;;7.000,00;
;77;A empresas privadas;;3.000,00;
;770;A la Escuela Politécnica Superior de Mondragón Unibertsitatea para el Centro de Innovación y Emprendimiento Industrial Sostenible;;1.000,00;
;771;A Mondragón Unibertsitatea para desarrollo de plataforma digital de innovación educativa y servicios al estudiante;;2.000,00;
;78;A familias e instituciones sin fines de lucro;;1.400,00;
;780;Al CIC Energigune para el Laboratorio Testeo de Electrolizadores Avanzados;;400,00;
;781;A la Universidad de Deusto proyecto transferencia e innovación tecnológica en los ámbitos industrial y sociosanitario;;1.000,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;526.231,05;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;82;Concesión de préstamos al Sector Público;;253.000,00;
;821;Préstamos a largo plazo;;253.000,00;
;87;Aportaciones patrimoniales;;685.270,00;
;870;Aportaciones patrimoniales;;685.270,00;
;87000; Al CDTI para apoyo a proyectos de I+D+i;358.270,00;;
;87001; Al CDTI para apoyo al programa INNVIERTE;200.000,00;;
;87003; Al CDTI para capitalización de un Fondo de Provisiones Técnicas asociado a la Red Cervera y a proyectos de I+D+i;127.000,00;;
;;TOTAL ACTIVOS FINANCIEROS;;938.270,00;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE INNOVACIÓN;;1.487.455,58;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y desarrollo tecnológico-industrial;;1.487.455,58;
;;



