;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 467H Investigación energética, medioambiental y tecnológica;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.103;;CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;3.135,57;
;150;Productividad;;3.115,71;
;151;Gratificaciones;;19,86;
;16000; Seguridad Social;10.594,17;;
;16200; Formación y perfeccionamiento del personal;45,21;;
;16201; Economatos y comedores;511,14;;
;16204; Acción social;308,26;;
;;TOTAL GASTOS DE PERSONAL;;59.677,91;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;3.145,00;
;22502; Locales;97,00;;
;22601; Atenciones protocolarias y representativas;11,10;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;27.025,51;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;1.139,36;
;352;Intereses de demora;;1.135,65;
;359;Otros gastos financieros;;3,71;
;;TOTAL GASTOS FINANCIEROS;;1.139,36;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;124,50;
;482;Cuotas asociaciones;;46,50;
;483;Becas de formación de personal investigador;;78,00;
;49;Al exterior;;429,70;
;491;Contribuciones a organismos de la Agencia Internacional de la Energía;;95,00;
;492;Contribución voluntaria a la Organización Internacional de la Energía Atómica (OIEA);;21,00;
;493;Contribución española a la AEN/Banco de Datos de la OCDE;;165,00;
;494;Cuotas a asociaciones internacionales relacionadas con la energía y el medio ambiente;;148,70;
;;TOTAL TRANSFERENCIAS CORRIENTES;;554,20;
 ; ;;;;
;6;INVERSIONES REALES;;24.572,25;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;1.584,00;
;750;Aportación a la Fundación Parque Científico de Madrid;;84,00;
;751;A la Universidad del País Vasco para infraestructura offshore para el ensayo y el desarrollo energético de energías renovables e hidrógeno verde;;1.500,00;
;78;A familias e instituciones sin fines de lucro;;7,00;
;785;Aportación a la Fundación Energía sin Fronteras;;7,00;
;79;Al exterior;;606,00;
;790;Aportaciónes;;606,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.197,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;125,00;
;830;Préstamos a corto plazo;;75,00;
;831;Préstamos a largo plazo;;50,00;
;86;Adquisición de acciones y participaciones de fuera del Sector Público;;3,00;
;860;De empresas nacionales o de la Unión Europea;;3,00;
;;TOTAL ACTIVOS FINANCIEROS;;128,00;
 ; ;;;;
;;TOTAL CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS;;115.294,23;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación energética, medioambiental y tecnológica;;115.294,23;
;;



