;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46QB C17.I02 Fortalecimiento de las capacidades, infraestructuras y equipamientos de los agentes del SECTI;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.103;;CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS;;26.490,97;
 ; ;;;;
 ; ;;;;
28.301;;CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS;;42.239,42;
 ; ;;;;
 ; ;;;;
28.303;;AGENCIA ESTATAL DE INVESTIGACIÓN;;7.100,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C17.I02 Fortalecimiento de las capacidades, infraestructuras y equipamientos de los agentes del SECTI;;75.830,39;
;;



