;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46QI C17.I09 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Sector aeroespacial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74910; Al CDTI para el Plan Tecnológico Aeronáutico. Mecanismo de Recuperación y Resiliencia;40.000,00;;
;87003; Al CDTI para programas de innovación y la eficiencia energética en el entorno productivo aeroespacial. Mecanismo de Recuperación y Resiliencia;200.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;240.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C17.I09 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Sector aeroespacial;;240.000,00;
;;



