;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46UD C21.I04 Formación y capacitación del personal docente e investigador;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.50;;Total;
7;TRANSFERENCIAS DE CAPITAL;120.520,00;;120.520,00;
75; A Comunidades Autónomas;120.520,00;;120.520,00;
;TOTAL;120.520,00;;120.520,00;
;;



