;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
143A; Cooperación para el desarrollo;;;3.110,00;3.110,00;
144B; Cooperación, promoción y difusión educativa en el exterior;;2.038,41;;2.038,41;
322C; Enseñanzas universitarias;105.715,29;40.574,77;;146.290,06;
323M; Becas y ayudas a estudiantes;1.029,10;48.906,04;;49.935,14;
45DA; C04.I01 Digitalización y conocimientos del patrimonio natural;;2.326,52;26.706,03;29.032,55;
45DC; C04.I03 Restauración de ecosistemas e infraestructura verde;;;440,00;440,00;
45ED; C05.I04 Adaptación de la costa al cambio climático e implementación de las Estrategias Marinas y de los planes de ordenación del espacio marítimo;;;4.000,00;4.000,00;
46OE; C15.I05 Despliegue de infraestructuras digitales transfronterizas. I+D+i+Digitalización;100.000,00;;;100.000,00;
46QA; C17.I01 Planes Complementarios con CCAA;32.600,00;;27.654,66;60.254,66;
46QB; C17.I02 Fortalecimiento de las capacidades, infraestructuras y equipamientos de los agentes del SECTI;;26.490,97;49.339,42;75.830,39;
46QC; C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;100.000,00;157,71;342.409,82;442.567,53;
46QD; C17.I04 Nueva carrera científica;;78,90;218.931,10;219.010,00;
46QE; C17.I05 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Transferencia de conocimiento;41.680,00;;268,01;41.948,01;
46QF; C17.I06 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Salud;230.000,00;159.117,05;35.126,00;424.243,05;
46QG; C17.I07 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Medioambiente, cambio climático y energía;;;6.858,00;6.858,00;
46QI; C17.I09 Reforma de capacidades del sistema nacional de ciencia, tecnología e innovación: Sector aeroespacial;240.000,00;;;240.000,00;
46UD; C21.I04 Formación y capacitación del personal docente e investigador;120.520,00;;;120.520,00;
46UE; C21.I05 Mejora de infraestructuras digitales, el equipamiento, las tecnologías, la docencia y la evaluación digitales universitarios;8.530,00;;;8.530,00;
461M; Dirección y Servicios Generales de Ciencia, Innovación y Universidades;57.627,29;;;57.627,29;
463A; Investigación científica;155.596,58;;1.060.096,29;1.215.692,87;
463B; Fomento y coordinación de la investigación científica y técnica;2.249.293,69;;766.803,16;3.016.096,85;
465A; Investigación sanitaria;;330.087,45;;330.087,45;
467C; Investigación y desarrollo tecnológico-industrial;1.487.455,58;;;1.487.455,58;
467H; Investigación energética, medioambiental y tecnológica;;115.294,23;;115.294,23;
;TOTAL CONSOLIDADO;4.930.047,53;725.072,05;2.541.742,49;8.196.862,07;
000X; Transferencias y libramientos internos;2.518.227,34;727,31;91.358,35;2.610.313,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;2.518.227,34;727,31;91.358,35;2.610.313,00;
;TOTAL;7.448.274,87;725.799,36;2.633.100,84;10.807.175,07;
;;



