Económica;Explicación;Orgánica 29.09 (K€);Total (€)
1;GASTOS DE PERSONAL;8.405,13;8.405.130,00
10;Altos cargos;61,04;61.040,00
12;Funcionarios;5.643,09;5.643.090,00
13;Laborales;818,56;818.560,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.882,44;1.882.440,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.584,19;2.584.190,00
20;Arrendamientos y cánones;2;2.000,00
21;Reparaciones, mantenimiento y conservación;352,91;352.910,00
22;Material, suministros y otros;2.040,60;2.040.600,00
23;Indemnizaciones por razón del servicio;164,58;164.580,00
24;Gastos de publicaciones;24,10;24.100,00
3;GASTOS FINANCIEROS;5;5.000,00
35;Intereses de demora y otros gastos financieros;5,00;5.000,00
4;TRANSFERENCIAS CORRIENTES;5.585,46;5.585.460,00
45;A Comunidades Autónomas;1.230,18;1.230.180,00
46;A Entidades Locales;1.200,48;1.200.480,00
48;A familias e instituciones sin fines de lucro;3.154,80;3.154.800,00
6;INVERSIONES REALES;980;980.000,00
62;Inversión nueva asociada al funcionamiento operativo;650,00;650.000,00
63;Inversión de reposición asociada al funcionamiento operativo;320;320.000,00
64;Gastos de inversiones de carácter inmaterial;10;10.000,00
;29.09;17.559,78;17.559.780,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
