Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.01;12;Funcionarios;845,94;845.940,00
29.01;—;TOTAL GASTOS DE PERSONAL;845,94;845.940,00
29.01;21;Reparaciones, mantenimiento y conservación;37;37.000,00
29.01;22;Material, suministros y otros;1.211,93;1.211.930,00
29.01;22502;Locales;5;5.000,00
29.01;23;Indemnizaciones por razón del servicio;151,2;151.200,00
29.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.400,13;1.400.130,00
29.01;6;INVERSIONES REALES;90;90.000,00
29.01;83;Concesión de préstamos fuera del Sector Público;50;50.000,00
29.01;831;Préstamos a largo plazo;50;50.000,00
29.01;—;TOTAL ACTIVOS FINANCIEROS;50;50.000,00
29.01;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;2.386,07;2.386.070,00
29.02;12;Funcionarios;158,4;158.400,00
29.02;—;TOTAL GASTOS DE PERSONAL;158,4;158.400,00
29.02;22;Material, suministros y otros;21;21.000,00
29.02;23;Indemnizaciones por razón del servicio;13;13.000,00
29.02;24;Gastos de publicaciones;35;35.000,00
29.02;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;69;69.000,00
29.02;—;TOTAL SECRETARÍA GENERAL TÉCNICA;227,4;227.400,00
29.08;10;Altos cargos;71,16;71.160,00
29.08;12;Funcionarios;244,9;244.900,00
29.08;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;70,03;70.030,00
29.08;16000;Seguridad Social;70,03;70.030,00
29.08;—;TOTAL GASTOS DE PERSONAL;386,09;386.090,00
29.08;22;Material, suministros y otros;874,68;874.680,00
29.08;22601;Atenciones protocolarias y representativas;4,68;4.680,00
29.08;23;Indemnizaciones por razón del servicio;60;60.000,00
29.08;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;934,68;934.680,00
29.08;—;TOTAL SECRETARÍA GENERAL DE CONSUMO Y JUEGO;1.320,77;1.320.770,00
 ; ;29.01;2.386,07;2.386.070,00
 ; ;29.02;227,4;227.400,00
;;29.08;1.320,77;1.320.770,00
;;Total;3.934,24;3.934.240,00
