;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
29.03;;SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;4.253,13;
;419;Al Real Patronato sobre Discapacidad para el cumplimiento de sus fines;;4.253,13;
;42;A la Seguridad Social;;3.662.300,20;
;424;Al IMSERSO, para el cumplimiento de sus fines;;145.869,95;
;425;Al IMSERSO SAAD, para la cobertura de cuotas sociales de cuidadores no profesionales de las personas en situación de dependencia;;184.970,36;
;427;Al IMSERSO para mínimo garantizado en dependencia;;2.446.147,98;
;42700; Al IMSERSO, para mínimo garantizado en dependencia;2.446.147,98;;
;428;AL IMSERSO, nivel convenido en dependencia (SAAD);;783.197,42;
;429;Al IMSERSO para otros gastos en dependencia;;102.114,49;
;;TOTAL TRANSFERENCIAS CORRIENTES;;3.666.553,33;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;257,50;
;719;Al Real Patronato sobre Discapacidad;;257,50;
;72;A la Seguridad Social;;11.125,00;
;720;Al IMSERSO, para el cumplimiento de sus fines;;5.256,00;
;729;Al IMSERSO para otros gastos en dependencia;;5.869,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;11.382,50;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;;3.677.935,83;
 ; ;;;;
 ; ;;;;
29.08;;SECRETARÍA GENERAL DE CONSUMO Y JUEGO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;11.711,67;
;411;A la Agencia Española de Seguridad Alimentaria y Nutrición;;11.711,67;
;;TOTAL TRANSFERENCIAS CORRIENTES;;11.711,67;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;2.341,45;
;711;A la Agencia Española de Seguridad Alimentaria y Nutrición;;2.341,45;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.341,45;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE CONSUMO Y JUEGO;;14.053,12;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;3.691.988,95;
;;



