;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;Programa: 232C Actuaciones para la prevención integral de la violencia de género;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;30.02;30.03;Total;
1;GASTOS DE PERSONAL;;2.556,06;2.556,06;
10; Altos cargos;;61,04;61,04;
12; Funcionarios;;2.138,89;2.138,89;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;356,13;356,13;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.717,27;6.717,27;
22; Material, suministros y otros;;6.602,27;6.602,27;
23; Indemnizaciones por razón del servicio;;115,00;115,00;
4;TRANSFERENCIAS CORRIENTES;170.202,02;53.618,00;223.820,02;
45; A Comunidades Autónomas;130.202,02;19.800,00;150.002,02;
46; A Entidades Locales;40.000,00;;40.000,00;
48; A familias e instituciones sin fines de lucro;;33.768,00;33.768,00;
49; Al exterior;;50,00;50,00;
6;INVERSIONES REALES;;16.623,54;16.623,54;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;7.573,54;7.573,54;
64; Gastos de inversiones de carácter inmaterial;;9.050,00;9.050,00;
7;TRANSFERENCIAS DE CAPITAL;10.000,00;;10.000,00;
75; A Comunidades Autónomas;10.000,00;;10.000,00;
;TOTAL;180.202,02;79.514,87;259.716,89;
;;



