Clasif. por programas;Explicación;Estado (€ miles);OO.AA. (€ miles);Total (€ miles)
232B;Igualdad de oportunidades entre mujeres y hombres;204.080,47;27.511,01;231.591,48
232C;Prevención integral de la violencia de género;259.716,89;—;259.716,89
232D;Igualdad de trato y diversidad;6.926,17;—;6.926,17
232M;Dirección y Servicios Generales de Igualdad;13.300,72;—;13.300,72
TOTAL CONSOLIDADO;—;484.024,25;27.511,01;511.535,26
000X;Transferencias internas entre subsector público;18.907,45;—;18.907,45
TOTAL GENERAL;—;502.931,70;27.511,01;530.442,71
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
