;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;Total;
232B; Igualdad de oportunidades entre mujeres y hombres;204.080,47;27.511,01;231.591,48;
232C; Actuaciones para la prevención integral de la violencia de género;259.716,89;;259.716,89;
232D; Igualdad de trato y diversidad;6.926,17;;6.926,17;
232M; Dirección y Servicios Generales de Igualdad;13.300,72;;13.300,72;
;TOTAL CONSOLIDADO;484.024,25;27.511,01;511.535,26;
000X; Transferencias y libramientos internos;18.907,45;;18.907,45;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;18.907,45;;18.907,45;
;TOTAL;502.931,70;27.511,01;530.442,71;
;;



