Capítulo Económico;Explicación;31.03 (miles €);31.04 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;253,2;2.043,23;2.296,43;2.296.430,00 €
10;Altos cargos;—;61,04;61,04;61.040,00 €
11;Personal eventual;253,2;—;253,2;253.200,00 €
12;Funcionarios;—;1.133,87;1.133,87;1.133.870,00 €
13;Laborales;—;482,19;482,19;482.190,00 €
16;Cuotas y gastos sociales;—;366,13;366,13;366.130,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;2.285,62;2.285,62;2.285.620,00 €
22;Material, suministros y otros;—;2.262,40;2.262,40;2.262.400,00 €
23;Indemnizaciones por razón del servicio;—;23,22;23,22;23.220,00 €
4;TRANSFERENCIAS CORRIENTES;—;36.748,61;36.748,61;36.748.610,00 €
45;A Comunidades Autónomas;—;35.000,00;35.000,00;35.000.000,00 €
46;A Entidades Locales;—;0,01;0,01;10,00 €
48;A familias e instituciones sin fines de lucro;—;1.748,60;1.748,60;1.748.600,00 €
7;TRANSFERENCIAS DE CAPITAL;—;52,00;52,00;52.000,00 €
76;A Entidades Locales;—;52;52;52.000,00 €
;TOTAL GENERAL DEL PROGRAMA 231G;253,2;41.129,46;41.382,66;41.382.660,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
