Económica;Explicación;31.01 ;31.02 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.040,49;953,01;8.993,50;8.993.500,00
10;Altos cargos;208,56;61,04;269,6;269.600,00
11;Personal eventual;518,37;—;518,37;518.370,00
12;Funcionarios;3.741,11;679,97;4.421,08;4.421.080,00
15;Incentivos al rendimiento;2.601,16;—;2.601,16;2.601.160,00
16;Cuotas, prestaciones y gastos sociales;971,29;212;1.183,29;1.183.290,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;887,68;34,84;922,52;922.520,00
20;Arrendamientos y cánones;773;—;773;773.000,00
22;Material, suministros y otros;114,68;12,34;127,02;127.020,00
23;Indemnizaciones por razón del servicio;—;22,5;22,5;22.500,00
6;INVERSIONES REALES;5;—;5;5.000,00
62;Inversión nueva asociada al funcionamiento operativo;5;—;5;5.000,00
;TOTAL GENERAL PROGRAMA 232N;8.933,17;987,85;9.921,02;9.921.020,00
