Capítulo Económico;Explicación;Importe (miles €);Importe (€);
4;TRANSFERENCIAS CORRIENTES;12.311,64;12.311.640,00 €;
41;A Organismos Autónomos;12.311,64;12.311.640,00 €;
410;Al Instituto de la Juventud para el cumplimiento de sus fines;12.311,64;12.311.640,00 €;
7;TRANSFERENCIAS DE CAPITAL;247,22;247.220,00 €;
71;A Organismos Autónomos;247,22;247.220,00 €;
710;Al Instituto de la Juventud;247,22;247.220,00 €;
;TOTAL PROGRAMA 000X;12.558,86;12.558.860,00 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
