Capítulo;Económica;Explicación;Total (miles euros);Total (euros)
1;—;Gastos de personal;18.211,64;18.211.640,00
;10;Altos cargos;122,06;122.060,00
;12;Funcionarios;7.206,90;7.206.900,00
;13;Laborales;7.935,75;7.935.750,00
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.946,93;2.946.930,00
2;—;Gastos corrientes en bienes y servicios;689.661,21;689.661.210,00
;20;Arrendamientos y cánones;75,18;75.180,00
;21;Reparaciones, mantenimiento y conservación;1.447,83;1.447.830,00
;22;Material, suministros y otros;687.712,86;687.712.860,00
;23;Indemnizaciones por razón del servicio;425,34;425.340,00
3;—;Gastos financieros;200;200.000,00
;35;Intereses de demora y otros gastos financieros;200;200.000,00
4;—;Transferencias corrientes;36.040,00;36.040.000,00
;45;A Comunidades Autónomas;15;15.000,00
;48;A familias e instituciones sin fines de lucro;32.025,00;32.025.000,00
;49;Al exterior;4.000,00;4.000.000,00
6;—;Inversiones reales;1.000,00;1.000.000,00
;62;Inversión nueva asociada al funcionamiento operativo de los servicios;250;250.000,00
;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;750;750.000,00
7;—;Transferencias de capital;300;300.000,00
;78;A familias e instituciones sin fines de lucro;300;300.000,00
—;—;TOTAL PROGRAMA 231H – Acciones en favor de los inmigrantes;745.412,85;745.412.850,00
