Económica;Explicación;33.50 (miles €);Total (€ reales)
6;INVERSIONES REALES;20.000,00;20.000.000 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;20.000,00;20.000.000 €
7;TRANSFERENCIAS DE CAPITAL;28.000,00;28.000.000 €
74;A entidades públicas estatales;18.000,00;18.000.000 €
75;A Comunidades Autónomas;3.000,00;3.000.000 €
76;A Entidades Locales;3.500,00;3.500.000 €
78;A familias e instituciones sin fines de lucro;3.500,00;3.500.000 €
8;ACTIVOS FINANCIEROS;12.000,00;12.000.000 €
82;Concesión de préstamos al Sector Público;12.000,00;12.000.000 €
—;TOTAL PROGRAMA 46MA – C13.I01;60.000,00;60.000.000 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
