Económica;Explicación;33.50 (miles €);Total (€ reales);
6;INVERSIONES REALES;15.000,00;15.000.000 €;
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;15.000,00;15.000.000 €;
7;TRANSFERENCIAS DE CAPITAL;555.000,00;555.000.000 €;
74;A entidades públicas estatales;35.000,00;35.000.000 €;
75;A Comunidades Autónomas;15.000,00;15.000.000 €;
77;A empresas privadas;505.000,00;505.000.000 €;
—;TOTAL PROGRAMA 49OF – C15.I06;570.000,00;570.000.000 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
