Económica;Explicación;33.50 (miles €);33.101 (INAP);33.102 (MUFACE);Total (€ miles);Total (€ reales);
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.419,99;450;—;1.869,99;1.869.990 €;
29;Gastos corrientes. Mecanismo de Recuperación y Resiliencia;1.419,99;450;—;1.869,99;1.869.990 €;
4;TRANSFERENCIAS CORRIENTES;60;—;—;60;60.000 €;
48;A familias e instituciones sin fines de lucro;60;—;—;60;60.000 €;
6;INVERSIONES REALES;1.835,11;750;1.084,46;3.669,57;3.669.570 €;
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;1.835,11;750;1.084,46;3.669,57;3.669.570 €;
—;TOTAL PROGRAMA 92KC – C11.I03;3.315,10;1.200,00;1.084,46;5.599,56;5.599.560 €;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
