Económica;Explicación;33.03 (miles €);Total (miles €);Total (€ reales)
1;GASTOS DE PERSONAL;17.278,47;17.278,47;17.278.470 €
10;Altos cargos;61,04;61,04;61.040 €
12;Funcionarios;12.973,68;12.973,68;12.973.680 €
13;Laborales;2.481,89;2.481,89;2.481.890 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.761,86;1.761,86;1.761.860 €
4;TRANSFERENCIAS CORRIENTES;2.714,78;2.714,78;2.714.780 €
48;A familias e instituciones sin fines de lucro;30;30;30.000 €
49;Al exterior;2.684,78;2.684,78;2.684.780 €
6;INVERSIONES REALES;15.260,69;15.260,69;15.260.690 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.602,48;1.602,48;1.602.480 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;60,50;60,5;60.500,00
64;Gastos de inversiones de carácter inmaterial;13.597,71;13.597,71;13.597.710 €
7;TRANSFERENCIAS DE CAPITAL;250,00;250;250.000,00
74;A entidades públicas estatales;250,00;250;250.000,00
8;ACTIVOS FINANCIEROS;2.000,00;2.000,00;2.000.000,00
87;Aportaciones patrimoniales;2.000,00;2.000,00;2.000.000,00
—;TOTAL PROGRAMA 491M;37.503,94;37.503,94;37.503.940 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
