Económica;Explicación;33.101 (miles €);Total (€ reales)
1;GASTOS DE PERSONAL;23.166,33;23.166.330 €
10;Altos cargos;61,74;61.740 €
12;Funcionarios;17.435,36;17.435.360 €
13;Laborales;840,97;840.970 €
15;Incentivos al rendimiento;633,96;633.960 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.194,30;4.194.300 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.070,46;27.070.460 €
20;Arrendamientos y cánones;142,5;142.500 €
21;Reparaciones, mantenimiento y conservación;480;480.000 €
22;Material, suministros y otros;23.815;23.814.960 €
23;Indemnizaciones por razón del servicio;2.433,00;2.433.000 €
24;Gastos de publicaciones;200;200.000 €
3;GASTOS FINANCIEROS;0,82;820 €
35;Intereses de demora y otros gastos financieros;0,82;820 €
4;TRANSFERENCIAS CORRIENTES;63.616,43;63.616.430 €
45;A Comunidades Autónomas;53.587,34;53.587.340 €
46;A Entidades Locales;20,00;20.000 €
48;A familias e instituciones sin fines de lucro;9.858,09;9.858.090 €
49;Al exterior;151;151.000 €
6;INVERSIONES REALES;3.394,49;3.394.490 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;93,79;93.790 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;751,98;751.980 €
64;Gastos de inversiones de carácter inmaterial;2.548,72;2.548.720 €
8;ACTIVOS FINANCIEROS;50;50.000 €
83;Concesión de préstamos fuera del Sector Público;50,00;50.000 €
—;TOTAL PROGRAMA 921O;117.298,53;117.298.530 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
