Económica;Explicación;33.06 (miles €);33.50 (miles €);33.102 (miles €);Total (miles €);Total (€ reales);
4;TRANSFERENCIAS CORRIENTES;28.173,32;450;432,02;29.055,34;29.055.340 €;
40;A la Administración del Estado;—;—;432,02;432,02;432.020 €;
41;A Organismos Autónomos;25.483,26;450;—;25.933,26;25.933.260 €;
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;2.690,06;—;—;2.690,06;2.690.060 €;
7;TRANSFERENCIAS DE CAPITAL;3.448,49;1.834,46;—;5.282,95;5.282.950 €;
71;A Organismos Autónomos;3.394,49;1.834,46;—;5.228,95;5.228.950 €;
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54;—;—;54;54.000 €;
—;TOTAL PROGRAMA 000X;31.621,81;2.284,46;432,02;34.338,29;34.338.290 €;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
