;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 312E Asistencia sanitaria del Mutualismo Administrativo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.102;;MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22109; Labores Fábrica Nacional Moneda y Timbre;420,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.189.411,15;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;427.500,00;
;484;Farmacia;;405.000,00;
;485;Prótesis y otras prestaciones;;22.500,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;427.500,00;
 ; ;;;;
;;TOTAL MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;;1.616.911,15;
 ; ;;;;
 ; ;;;;
;;TOTAL Asistencia sanitaria del Mutualismo Administrativo;;1.616.911,15;
;;



