;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 46MA C13.I01 Emprendimiento. I+D+i+Digitalización;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74003; A Red.es para Oficina Nacional de Emprendimiento (ONE). Mecanismo de Recuperación y Resiliencia;18.000,00;;
;82904; A ENISA para apoyo a las startups lideradas por mujeres emprendedoras. Mecanismo de Recuperación y Resiliencia;12.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;60.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C13.I01 Emprendimiento. I+D+i+Digitalización;;60.000,00;
;;



